Seg_ID,UP_MH,DS_MH,Dia_Inch,Shape,Material,Length_Ft,MWL,DS,defects,Video Quality,Jurisdiction,risk score,Inspection_cycle
1,118.2,117,30,Circular,RCP,222,55,0.12,SAV,Good,Dulles Aiport,5,1
1.5,118.2,117,30,Circular,RCP,222,55,0.12,SAV,Good,Dulles Aiport,5,1
2,117,116,30,Circular,RCP,248,25,0.2,SAV,Good,Dulles Aiport,2,9
2.5,117,116,30,Circular,RCP,248,25,0.2,SAV,Good,Dulles Aiport,2,9
3,116,115.8,30,Circular,RCP,209,25,0,SAV,Good,Dulles Aiport,2,9
4,115.8,115,30,Circular,RCP,283,25,0,SAV,Good,Dulles Aiport,2,9
5,115,114,30,Circular,RCP,242,25,0.4,SAV,Good,Dulles Aiport,2,9
5.5,115,114,30,Circular,RCP,242,25,0.4,SAV,Good,Dulles Aiport,2,9
6,114,113,30,Circular,RCP,248,25,0,SAV,Good,Dulles Aiport,3,9
6.5,114,113,30,Circular,RCP,248,25,0,SAV,Good,Dulles Aiport,3,9
7,113,112,30,Circular,RCP,248,25,0,SAV,Good,Dulles Aiport,3,9
7.5,113,112,30,Circular,RCP,248,25,0,SAV,Good,Dulles Aiport,3,9
8,112,111,30,Circular,RCP,248,25,0.1,SAV,Good,Dulles Aiport,3,9
8.5,112,111,30,Circular,RCP,248,25,0.1,SAV,Good,Dulles Aiport,3,9
9,111,110,30,Circular,RCP,247,25,0,SAV,Good,Dulles Aiport,3,9
9.5,111,110,30,Circular,RCP,247,25,0,SAV,Good,Dulles Aiport,3,9
10,110,109,30,Circular,RCP,353,25,0,SAV,Good,Dulles Aiport,3,9
11,109,108,30,Circular,RCP,304,55,0,SAV,Good,Dulles Aiport,3,9
12,107.8,106,30,Circular,RCP,300,20,0,SAM,Good,Dulles Aiport,3,9
13,108,107,30,Circular,RCP,223,55,0,SAV,Good,Dulles Aiport,3,9
13.5,108,107,30,Circular,RCP,223,55,0,SAV,Good,Dulles Aiport,3,9
14,107.84,107.83,30,Circular,RCP,313,25,0,SRC,Good,Dulles Aiport,5,1
15,107.83,107.82,30,Circular,RCP,35,25,0,SRC,Good,Dulles Aiport,5,2
16,107.82,107.81,30,Circular,RCP,390,25,0,SRC,Good,Dulles Aiport,5,1
17,107.81,107.8,30,Circular,RCP,231,40,0,SRC,Good,Dulles Aiport,5,1
17.5,107.81,107.8,30,Circular,RCP,231,40,0,SRC,Good,Dulles Aiport,5,1
18,107.8,106,30,Circular,RCP,266,50,0.09,SAV,Good,Dulles Aiport,5,1
19,107.2,107.84,30,Circular,RCP,195,20,0,SRC,Good,Dulles Aiport,5,1
20,107,107.8,30,Circular,RCP,11,50,0.12,SAV,Good,Dulles Aiport,5,1
21,106,105,30,Circular,RCP,263,40,0,SAV,Good,Dulles Aiport,3,9
21.5,106,105,30,Circular,RCP,263,40,0,SAV,Good,Dulles Aiport,3,9
22,105,104,30,Circular,RCP,223,40,0,SAV,Good,Dulles Aiport,3,9
22.5,105,104,30,Circular,RCP,223,40,0,SAV,Good,Dulles Aiport,3,9
23,104,103,30,Circular,RCP,375,40,0,SAV,Good,Dulles Aiport,2,9
24,103.81,103.8,24,Circular,RCP,215.5,15,0.12,SAP,Poor,Dulles Aiport,3,9
24.5,103.81,103.8,24,Circular,RCP,215.5,15,0.12,SAP,Poor,Dulles Aiport,3,9
25,103.8,103,24,Circular,RCP,135,15,0,SAV,Good,Dulles Aiport,1,8
26,103.2,103.81,24,Circular,RCP,252,15,0.12,SRP,Good,Dulles Aiport,4,9
27,103,102,36,Circular,RCP,173,35,0,SAV,Good,Dulles Aiport,2,5
28,102,101,36,Circular,RCP,215,35,0,SAV,Good,Dulles Aiport,2,5
28.5,102,101,36,Circular,RCP,215,35,0,SAV,Good,Dulles Aiport,2,5
29,101,100,36,Circular,RCP,251,25,0,SAP,Good,Dulles Aiport,3,9
29.5,101,100,36,Circular,RCP,251,25,0,SAP,Good,Dulles Aiport,5,2
30,100,99,36,Circular,RCP,244,30,0,SAP,Good,Dulles Aiport,3,9
30.5,100,99,36,Circular,RCP,244,30,0,SAP,Good,Dulles Aiport,3,9
31,99,98,36,Circular,RCP,246.5,30,0,SAV,Good,Dulles Aiport,5,1
31.5,99,98,36,Circular,RCP,246.5,30,0,SAV,Good,Dulles Aiport,5,1
32,98,97,36,Circular,RCP,251,30,0.09,SAV,Good,Dulles Aiport,2,5
32.5,98,97,36,Circular,RCP,251,30,0.09,SAV,Good,Dulles Aiport,2,5
33,97,96,36,Circular,RCP,250,30,0,SAV,Good,Dulles Aiport,2,5
33.5,97,96,36,Circular,RCP,250,30,0,SAV,Good,Dulles Aiport,2,5
34,96,95,36,Circular,RCP,245,30,0,SAV,Good,Dulles Aiport,1,5
34.5,96,95,36,Circular,RCP,245,30,0,SAV,Good,Dulles Aiport,1,5
35,95,94,30,Circular,RCP,331,30,0,SAV,Good,Dulles Aiport,1,5
36,94,93,30,Circular,RCP,351,30,0,SAV,Good,Dulles Aiport,1,5
37,93,92,30,Circular,RCP,238,30,0,SAV,Good,Dulles Aiport,1,5
37.5,93,92,30,Circular,RCP,238,30,0,SAV,Good,Dulles Aiport,1,5
38,92,91,36,Circular,RCP,248,30,0,SAV,Good,Dulles Aiport,1,5
38.5,92,91,36,Circular,RCP,248,30,0,SAV,Good,Dulles Aiport,1,5
39,91,90,36,Circular,RCP,248,30,0,SAV,Good,Dulles Aiport,1,5
39.5,91,90,36,Circular,RCP,248,30,0,SAV,Good,Dulles Aiport,1,5
40,90,89,36,Circular,RCP,244,30,0,SAV,Good,Dulles Aiport,1,5
40.5,90,89,36,Circular,RCP,244,30,0,SAV,Good,Dulles Aiport,1,5
41,89,88,36,Circular,RCP,251,30,0,SAV,Good,Dulles Aiport,1,5
41.5,89,88,36,Circular,RCP,251,30,0,SAV,Good,Dulles Aiport,2,5
42,88,87,36,Circular,RCP,251,30,0.08,SAV,Good,Dulles Aiport,2,5
42.5,88,87,36,Circular,RCP,251,30,0.08,SAV,Good,Dulles Aiport,4,3
43,87,86,36,Circular,RCP,383,40,0.25,SAV,Good,Dulles Aiport,4,3
44,86,85,36,Circular,RCP,249,30,0,SAV,Good,Dulles Aiport,5,2
44.5,86,85,36,Circular,RCP,249,30,0,SAV,Good,Dulles Aiport,5,2
45,85,84,36,Circular,RCP,248,30,0,SAV,Good,Dulles Aiport,4,3
45.5,85,84,36,Circular,RCP,248,30,0,SAV,Good,Dulles Aiport,4,3
46,84,83,36,Circular,RCP,244,30,0.25,SAV,Good,Dulles Aiport,2,3
46.5,84,83,36,Circular,RCP,244,30,0.25,SAV,Good,Dulles Aiport,2,3
47,83,82,42,Circular,RCP,295,30,0.11,SAV,Good,Dulles Aiport,2,3
47.5,83,82,42,Circular,RCP,295,30,0.11,SAV,Good,Dulles Aiport,3,4
48,82,81,42,Circular,RCP,251,30,0,SAV,Good,Dulles Aiport,3,4
48.5,82,81,42,Circular,RCP,251,30,0,SAV,Good,Dulles Aiport,3,4
49,81,80,42,Circular,RCP,300,30,0,SAV,Good,Dulles Aiport,3,4
49.5,81,80,42,Circular,RCP,300,30,0,SAV,Good,Dulles Aiport,3,5
50,80.83,80.82,24,Circular,RCP,225,10,0.04,SAM,Good,Dulles Aiport,3,3
50.5,80.83,80.82,24,Circular,RCP,225,10,0.04,SAM,Good,Dulles Aiport,3,3
51,80.82,80.81,24,Circular,RCP,257,15,0,SAV,Good,Dulles Aiport,1,7
52,80.81,80.8,24,Circular,RCP,250.5,15,0,SAV,Good,Dulles Aiport,1,7
52.5,80.81,80.8,24,Circular,RCP,250.5,15,0,SAV,Good,Dulles Aiport,1,7
53,80.8,80,24,Circular,RCP,248,15,0,SAV,Good,Dulles Aiport,1,7
53.5,80.8,80,24,Circular,RCP,248,15,0,SAV,Good,Dulles Aiport,1,7
54,80.2,80.83,24,Circular,RCP,179,25,0.04,SAM,Good,Dulles Aiport,3,3
55,80,79,42,Circular,RCP,247,30,0,SAV,Good,Dulles Aiport,3,3
55.5,80,79,42,Circular,RCP,247,30,0,SAV,Good,Dulles Aiport,3,3
56,79,78,42,Circular,RCP,296,30,0,SAV,Good,Dulles Aiport,3,3
56.5,79,78,42,Circular,RCP,296,30,0,SAV,Good,Dulles Aiport,3,7
57,78,77,42,Circular,RCP,289,30,0,SAV,Good,Dulles Aiport,5,1
57.5,78,77,42,Circular,RCP,289,30,0,SAV,Good,Dulles Aiport,5,1
58,77,76,42,Circular,RCP,246,30,0,SAP,Good,Dulles Aiport,5,1
58.5,77,76,42,Circular,RCP,246,30,0,SAP,Good,Dulles Aiport,3,9
59,76,75,42,Circular,RCP,330,30,0,SAV,Good,Dulles Aiport,2,7
59.3,76,75,42,Circular,RCP,330,30,0,SAV,Good,Dulles Aiport,2,7
59.6,76,75,42,Circular,RCP,330,30,0,SAV,Good,Dulles Aiport,2,7
60,75,74,42,Circular,RCP,327,30,0,SAV,Good,Dulles Aiport,2,3
60.3,75,74,42,Circular,RCP,327,30,0,SAV,Good,Dulles Aiport,2,3
60.6,75,74,42,Circular,RCP,327,30,0,SAV,Good,Dulles Aiport,2,3
61,74,73.8,40,Circular,PE,271.5,50,0.16,SRP,Good,Loudoun,4,9
61.5,74,73.8,40,Circular,PE,271.5,50,0.16,SRP,Good,Loudoun,4,9
62,73.8,73,40,Circular,PE,45,45,0.06,SAM,Good,Loudoun,3,9
63,73,72,42,Circular,RCP,240.5,35,0,SRV,Good,Loudoun,4,9
63.5,73,72,42,Circular,RCP,240.5,35,0,SRV,Good,Loudoun,4,9
64,72,71,48,Circular,RCP,334,35,0.08,SAV,Good,Loudoun,2,3
64.3,72,71,48,Circular,RCP,334,35,0.08,SAV,Good,Loudoun,2,3
64.6,72,71,48,Circular,RCP,334,35,0.08,SAV,Good,Loudoun,2,7
65,71,70.8,48,Circular,RCP,13,35,0,SAV,Good,Loudoun,2,7
66,70.8,70.33,48,Circular,RCP,344,35,0,SAV,Good,Loudoun,2,7
67,70.33,70,48,Circular,RCP,283,35,0,SAV,Good,Loudoun,2,7
67.5,70.33,70,48,Circular,RCP,283,35,0,SAV,Good,Loudoun,2,7
68,70,69,48,Circular,RCP,327,40,0,SAV,Good,Loudoun,2,8
68.3,70,69,48,Circular,RCP,327,40,0,SAV,Good,Loudoun,2,8
68.6,70,69,48,Circular,RCP,327,40,0,SAV,Good,Loudoun,2,8
69,69,68.81,48,Circular,RCP,225,40,0,SAV,Poor,Loudoun,2,8
69.5,69,68.81,48,Circular,RCP,225,40,0,SAV,Poor,Loudoun,2,8
70,68.81,68.8,48,Circular,RCP,372,40,0,SAV,Good,Loudoun,2,8
71,68.8,68,48,Circular,RCP,92,40,0,SAV,Good,Loudoun,2,8
72,68,67,48,Circular,RCP,311,40,0,SAV,Good,Loudoun,3,8
72.3,68,67,48,Circular,RCP,311,40,0,SAV,Good,Loudoun,3,8
72.6,68,67,48,Circular,RCP,311,40,0,SAV,Good,Loudoun,3,8
73,67,66,48,Circular,RCP,303,40,0,SAV,Good,Loudoun,3,8
73.3,67,66,48,Circular,RCP,303,40,0,SAV,Good,Loudoun,5,1
73.6,67,66,48,Circular,RCP,303,40,0,SAV,Good,Loudoun,5,1
74,66,65,48,Circular,RCP,298.3333333,50,0,SAV,Good,Loudoun,5,2
74.3,66,65,48,Circular,RCP,298,50,0,SAV,Good,Loudoun,3,8
74.6,66,65,48,Circular,RCP,298,50,0,SAV,Good,Loudoun,3,8
75,65,64,48,Circular,RCP,293,40,0,SAV,Good,Loudoun,3,8
75.3,65,64,48,Circular,RCP,293,40,0,SAV,Good,Loudoun,3,8
75.6,65,64,48,Circular,RCP,293,40,0,SAV,Good,Loudoun,3,7
76,64,63,48,Circular,RCP,329.6666667,40,0,SAM,Good,Loudoun,3,9
76.3,64,63,48,Circular,RCP,329.6666667,40,0,SAM,Good,Loudoun,3,9
76.6,64,63,48,Circular,RCP,329.6666667,40,0,SAM,Good,Loudoun,3,9
77,63,62,48,Circular,RCP,330,40,0,SAV,Good,Loudoun,3,7
77.3,63,62,48,Circular,RCP,330,40,0,SAV,Good,Loudoun,3,7
77.6,63,62,48,Circular,RCP,330,40,0,SAV,Good,Loudoun,3,7
78,62,61,48,Circular,RCP,302,40,0,SAV,Good,Loudoun,3,7
78.3,62,61,48,Circular,RCP,302,40,0,SAV,Good,Loudoun,3,7
78.6,62,61,48,Circular,RCP,302,40,0,SAV,Good,Loudoun,3,7
79,61,60,48,Circular,RCP,328,40,0,SAV,Good,Loudoun,3,7
79.3,61,60,48,Circular,RCP,328,40,0,SAV,Good,Loudoun,3,7
79.6,61,60,48,Circular,RCP,328,40,0,SAV,Good,Loudoun,3,7
80,60,59,48,Circular,RCP,330,45,0,SAV,Good,Loudoun,2,7
80.3,60,59,48,Circular,RCP,330,45,0,SAV,Good,Loudoun,2,7
80.6,60,59,48,Circular,RCP,330,45,0,SAV,Good,Loudoun,2,7
81,59,58.33,48,Circular,RCP,298,40,0,SAV,Good,Loudoun,4,7
81.5,59,58.33,48,Circular,RCP,298,40,0,SAV,Good,Loudoun,4,7
82,58.33,58,48,Circular,RCP,385,40,0,SAV,Good,Loudoun,3,7
83,58,57,54,Circular,RCP,393.3333333,40,0,SRP,Good,Loudoun,4,9
83.3,58,57,54,Circular,RCP,393.3333333,40,0,SRP,Good,Loudoun,4,9
83.6,58,57,54,Circular,RCP,393.3333333,40,0,SRP,Good,Loudoun,4,9
84,57,56,54,Circular,RCP,434,45,0,SAV,Good,Loudoun,3,3
84.3,57,56,54,Circular,RCP,434,45,0,SAV,Good,Loudoun,3,3
84.6,57,56,54,Circular,RCP,434,45,0,SAV,Good,Loudoun,3,3
85,56,55,54,Circular,RCP,430,40,0,SAV,Good,Loudoun,3,3
85.3,56,55,54,Circular,RCP,430,40,0,SAV,Good,Loudoun,3,3
85.6,56,55,54,Circular,RCP,430,40,0,SAV,Good,Loudoun,3,3
86,55,54,66,Circular,RCP,823,30,0,SAV,Good,Loudoun,3,3
86.3,55,54,66,Circular,RCP,823,30,0,SAV,Good,Loudoun,3,3
86.6,55,54,66,Circular,RCP,823,30,0,SAV,Good,Loudoun,3,4
87,54,53.8,66,Circular,RCP,657,30,0.02,SAV,Good,Loudoun,3,4
87.3,54,53.8,66,Circular,RCP,657,30,0.02,SAV,Good,Loudoun,3,4
87.6,54,53.8,66,Circular,RCP,657,30,0.02,SAV,Good,Loudoun,4,4
88,53.8,53,66,Circular,RCP,1048,25,0.03,SAV,Poor,Loudoun,2,4
88.3,53.8,53,66,Circular,RCP,1048,25,0.03,SAV,Poor,Loudoun,2,4
88.6,53.8,53,66,Circular,RCP,1048,25,0.03,SAV,Poor,Loudoun,2,4
